Rider_age,Rider_rating,Weatherconditions,traffic_type,Vehicle_condition,multiple_deliveries,Festival,City_type,time_taken,order_hour,order_time_of_day,distance
37.0,4.9,Sunny,high,2,0.0,no,urban,24,11.0,Morning,3.025149285677504
34.0,4.5,Stormy,jam,2,1.0,no,metropolitian,33,19.0,Evening,20.183529728733618
23.0,4.4,Sandstorms,low,0,1.0,no,urban,26,8.0,Morning,1.5527578022548725
38.0,4.7,Sunny,medium,0,1.0,no,metropolitian,21,18.0,Afternoon,7.790401360105752
32.0,4.6,Cloudy,high,1,1.0,no,metropolitian,30,13.0,Afternoon,6.2101379656240985
22.0,4.8,Cloudy,jam,0,1.0,no,urban,26,21.0,Evening,4.610365144357058
33.0,4.7,Fog,jam,1,1.0,no,metropolitian,40,19.0,Evening,16.600361127912656
35.0,4.6,Cloudy,medium,2,1.0,no,metropolitian,32,17.0,Afternoon,20.20525323529291
22.0,4.8,Stormy,jam,0,1.0,no,metropolitian,34,20.0,Evening,19.975520086221444
36.0,4.2,Fog,jam,2,3.0,no,metropolitian,46,21.0,Evening,10.280582064621877
21.0,4.7,Stormy,high,1,1.0,no,metropolitian,23,14.0,Afternoon,6.242318682701243
23.0,4.7,Sandstorms,medium,1,1.0,no,metropolitian,21,17.0,Afternoon,13.787860239172549
34.0,4.3,Sandstorms,low,0,0.0,no,metropolitian,20,9.0,Morning,2.9302578007621216
24.0,4.7,Fog,jam,1,1.0,no,metropolitian,41,19.0,Evening,19.39661829066159
29.0,4.5,Sandstorms,jam,2,1.0,no,metropolitian,20,20.0,Evening,13.76397722442764
35.0,4.0,Windy,high,1,1.0,no,metropolitian,33,14.0,Afternoon,6.21800119018663
33.0,4.2,Sandstorms,jam,2,1.0,no,metropolitian,40,20.0,Evening,16.849939918016492
34.0,4.9,Cloudy,jam,0,0.8,no,metropolitian,41,20.0,Evening,10.757108800258132
21.0,4.7,Windy,jam,0,1.0,no,urban,15,21.0,Evening,4.540574388731296
25.0,4.1,Sandstorms,jam,0,2.0,no,metropolitian,36,20.0,Evening,12.256076445468295
31.0,4.7,Sandstorms,low,2,0.0,no,metropolitian,26,22.0,Evening,19.61873934880101
37.0,5.0,Sandstorms,low,1,1.0,no,metropolitian,20,8.0,Morning,1.5581322655568652
33.0,4.3,Windy,jam,2,1.0,no,metropolitian,39,19.0,Evening,20.180635114114715
25.0,4.0,Cloudy,high,1,1.0,no,metropolitian,34,12.0,Morning,6.116971669682334
29.0,4.5,Sunny,medium,2,1.0,no,metropolitian,15,18.0,Afternoon,17.07559440107296
27.0,5.0,Stormy,jam,0,0.0,no,urban,18,20.0,Evening,4.470286489434607
35.0,4.3,Cloudy,low,1,0.0,no,metropolitian,38,23.0,Evening,13.68204452608078
32.0,4.0,Windy,jam,0,1.0,no,metropolitian,47,21.0,Evening,13.973182653917394
23.0,4.8,Windy,low,2,0.0,no,urban,12,23.0,Evening,16.85361872985359
31.0,4.8,Sandstorms,low,2,1.0,no,metropolitian,26,22.0,Evening,4.674172124263269
36.0,4.1,Stormy,low,0,1.0,no,urban,22,22.0,Evening,7.60161677107109
